Kingdom,Phylum,Class,Order,Family,Genus,Species
1,1,1,1,1,1,1
1,1,1,2,2,2,2
1,1,1,1,1,1,3
1,2,2,3,3,3,4
1,2,3,4,4,4,5
1,1,1,1,1,1,3
1,2,3,4,4,5,6
1,1,4,5,5,6,7
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,1,1,1,1,1,9
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,7,8,10
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,4,5
1,1,1,2,2,2,2
1,2,3,4,4,9,11
1,2,3,4,4,5,6
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,1,1,1,1
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,2,3,4,4,5,6
1,2,2,3,8,10,12
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,2,3,4,4,5,6
1,2,2,3,8,10,12
1,2,3,4,4,11,13
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,11,13
1,2,3,4,4,5,6
1,1,1,2,2,2,2
1,2,3,4,4,5,6
1,1,1,1,1,1,9
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,2,3,4,4,5,6
1,1,1,1,1,1,1
1,1,1,1,1,1,9
1,1,1,2,2,2,2
1,1,1,2,2,12,14
1,2,2,3,7,8,10
1,2,3,4,4,5,6
1,2,2,3,3,3,4
1,1,1,1,1,1,9
1,2,3,4,4,13,15
1,1,1,1,1,1,1
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,7,8,11,16,18
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,8,9,12,17,19
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,7,8,13,18,20
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,2,3,4,4,19,21
1,1,1,2,2,2,2
1,2,5,10,14,20,22
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,3,3,21,23
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,24
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,8,9,12,17,19
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,3,3,22,25
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,8,9,12,17,19
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,10,14,20,22
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,3,15,23,26
1,1,1,2,2,2,2
1,1,9,11,16,24,27
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,11,13
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,8,9,12,17,19
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,3,4,4,25,28
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,10,12,17,26,29
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,8,9,12,17,19
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,7,8,13,18,20
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,3,3,22,25
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,7,8,13,18,20
1,2,5,6,9,14,16
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,24
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,9,11,16,24,27
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,5,6,9,14,16
1,1,1,2,2,2,2
1,2,6,7,10,15,17
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,3,4,4,19,21
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,3,4,4,11,13
1,2,3,4,4,28,31
1,2,2,13,18,27,32
1,2,2,13,18,29,33
1,2,3,4,4,30,34
1,2,2,13,18,27,30
1,2,2,13,19,31,35
1,2,3,4,4,30,34
1,2,5,6,20,32,36
1,2,2,13,18,27,32
1,2,3,4,4,33,37
1,2,5,6,20,32,36
1,2,3,4,4,5,6
1,2,3,4,4,30,34
1,2,2,13,18,27,30
1,2,3,4,4,30,34
1,2,5,6,20,32,36
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,3,4,4,19,21
1,2,3,4,4,30,34
1,2,2,13,18,27,30
1,2,7,8,21,34,38
1,2,2,13,18,27,30
1,2,5,6,20,32,36
1,2,2,13,18,29,33
1,2,2,13,18,29,33
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,5,6,20,32,36
1,2,3,4,4,30,34
1,2,3,4,4,19,21
1,2,3,4,4,33,37
1,2,3,4,4,11,13
1,2,2,13,18,27,30
1,2,3,4,4,19,21
1,2,2,13,18,27,32
1,2,2,13,18,27,30
1,2,2,13,18,29,33
1,2,3,4,4,35,39
1,2,3,4,4,36,40
1,2,7,8,21,34,38
1,2,3,4,4,19,21
1,2,2,3,3,37,41
1,2,2,3,3,38,42
1,2,2,13,18,27,30
1,2,2,13,18,27,32
1,2,3,4,4,19,21
1,2,3,4,4,19,21
1,2,7,8,21,34,38
1,2,5,6,20,32,36
1,2,3,4,4,30,34
1,2,3,4,4,19,21
1,2,7,8,21,34,38
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,5,6,20,32,36
1,2,2,13,18,29,33
1,2,3,4,4,5,6
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,3,4,4,19,21
1,2,2,13,18,27,30
1,2,2,13,18,27,32
1,2,2,13,18,27,30
1,2,3,4,4,11,13
1,2,2,13,18,27,30
1,2,3,4,4,30,34
1,2,5,6,20,32,36
1,2,3,4,4,19,21
1,2,5,6,20,32,36
1,2,3,4,4,19,21
1,2,3,4,4,19,21
1,2,3,4,4,19,21
1,2,3,4,4,11,13
1,2,2,13,18,27,30
1,2,5,6,20,32,36
1,2,2,3,6,7,8
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,5,6,20,32,36
1,2,2,13,18,29,33
1,2,2,13,22,39,43
1,2,2,13,18,29,33
1,2,5,6,20,32,36
1,2,2,13,18,27,30
1,2,5,6,20,32,36
1,2,3,4,4,19,21
1,2,3,4,4,40,44
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,7,8,21,34,38
1,2,5,6,20,32,36
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,3,4,4,11,13
1,2,3,4,4,11,13
1,2,5,6,20,32,36
1,2,5,6,20,32,36
1,2,5,6,20,32,36
1,2,2,13,19,31,35
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,32
1,2,2,13,18,27,30
1,2,2,13,18,27,32
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,5,6,20,32,36
1,2,3,4,4,5,6
1,2,2,13,18,27,30
1,2,3,4,4,11,13
1,2,3,4,4,11,13
1,2,2,13,18,29,33
1,2,3,4,4,36,40
1,2,2,13,18,27,30
1,2,2,13,18,27,30
1,2,2,13,18,27,32
1,2,2,13,18,27,32
1,2,2,13,18,29,33
1,2,5,6,20,32,36
1,2,3,4,4,30,34
1,2,3,4,4,30,34
1,2,7,8,21,34,38
1,2,3,4,4,11,13
1,2,2,3,3,3,4
1,2,2,3,3,3,4
1,1,1,2,2,12,14
1,2,2,13,18,27,30
1,2,2,3,23,41,45
1,2,2,3,6,7,8
1,2,2,3,8,10,12
1,1,4,5,5,6,7
1,2,2,3,3,3,4
1,2,2,3,3,37,46
1,2,8,9,12,17,19
1,2,2,3,3,3,4
1,2,8,9,12,17,19
1,2,8,9,12,17,19
1,2,2,3,6,7,8
1,2,2,3,3,3,4
1,2,7,8,24,42,47
1,1,4,5,5,6,7
1,1,4,5,5,6,7
1,2,2,3,3,3,4
1,2,8,9,12,17,19
1,2,2,3,3,43,48
1,2,2,3,3,3,4
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,1,4,5,5,6,7
1,2,8,9,12,17,19
1,1,1,14,25,44,49
1,2,5,6,20,45,50
1,2,3,4,4,46,51
1,1,11,15,26,47,52
1,2,5,10,14,48,53
1,1,1,14,25,44,49
1,1,10,12,17,49,54
1,2,5,6,9,14,16
1,2,3,4,4,46,51
1,1,1,14,25,44,49
1,1,1,14,25,44,49
1,1,10,16,27,50,55
1,1,12,17,28,51,56
1,1,13,18,29,52,57
1,2,7,8,11,16,18
1,1,10,12,17,53,58
1,1,10,19,30,54,59
1,1,1,14,25,44,49
1,2,5,10,14,20,22
1,2,6,7,10,55,60
1,2,5,6,20,56,61
1,1,10,12,17,53,58
1,2,3,4,4,46,51
1,1,10,19,30,54,59
1,1,4,5,5,6,7
1,1,13,20,31,57,62
1,1,10,19,30,54,59
1,1,1,14,25,44,49
1,1,10,19,30,54,59
1,2,5,6,32,58,63
1,2,5,10,33,59,64
1,2,5,10,33,59,64
1,2,5,6,20,56,61
1,2,14,21,34,60,65
1,2,5,10,33,59,64
1,1,10,16,27,61,66
1,1,1,14,25,44,49
1,2,5,10,35,62,67
1,1,10,16,27,50,55
1,1,12,17,28,51,56
1,1,10,22,36,63,68
1,1,1,14,25,44,49
1,1,1,14,25,44,49
1,2,5,10,14,20,22
1,2,14,21,34,60,65
1,2,3,4,4,46,51
1,2,5,10,14,20,22
1,2,3,4,4,11,13
1,2,5,10,14,20,22
1,1,10,23,37,64,69
1,1,10,16,27,65,70
1,1,10,19,30,54,59
1,1,10,12,17,66,71
1,2,5,10,14,20,22
1,2,6,7,10,55,60
1,2,6,7,10,55,60
1,1,10,23,37,64,69
1,2,6,7,10,55,60
1,2,3,4,4,11,13
1,2,5,10,14,20,22
1,2,7,8,11,16,18
1,1,1,1,1,1,72
1,2,7,8,13,18,20
1,1,1,2,2,2,2
1,1,1,2,2,2,2
1,1,1,2,38,67,73
1,2,3,4,4,28,31
1,2,7,8,13,18,20
1,2,2,3,3,68,74
1,2,2,3,6,7,8
1,2,2,3,23,41,45
1,2,2,3,6,7,8
1,2,3,4,4,19,21
1,2,2,3,6,7,8
1,2,7,8,24,42,47
1,2,7,8,13,18,20
1,2,3,4,4,30,34
1,2,2,3,3,68,74
1,2,2,3,3,68,74
1,2,3,4,4,69,75
1,1,1,2,2,2,2
1,2,5,10,14,70,76
1,2,2,3,15,23,26
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,2,7,8,13,18,20
1,2,2,3,3,68,74
1,2,7,8,13,18,20
1,2,2,24,39,71,77
1,1,1,2,2,2,2
1,1,10,12,17,26,29
1,2,2,13,22,39,43
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,2,2,13,22,39,43
1,2,7,8,13,18,20
1,2,2,3,6,7,8
1,2,3,4,4,40,44
1,2,7,8,13,18,20
1,2,3,4,4,11,13
1,2,2,3,3,68,74
1,2,2,3,3,68,74
1,2,3,4,4,19,21
1,2,8,9,12,17,19
1,2,2,13,19,72,78
1,2,2,3,6,7,8
1,2,3,4,4,5,6
1,1,13,20,31,57,62
1,2,7,8,13,18,20
1,2,3,4,4,11,13
1,2,8,9,12,17,19
1,2,2,3,3,68,74
1,2,7,8,13,18,20
1,2,2,3,3,68,74
1,1,1,2,2,2,2
1,2,2,13,22,39,43
1,2,7,8,13,18,20
1,2,3,4,4,19,21
1,2,2,3,6,7,8
1,1,1,2,2,12,14
1,2,2,3,6,7,8
1,2,7,8,24,73,79
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,2,2,3,6,7,8
1,1,1,2,2,12,14
1,2,15,25,40,74,80
1,2,2,3,8,10,12
1,1,4,5,5,6,7
1,1,13,18,29,52,57
1,1,1,2,2,12,14
1,1,1,2,2,2,2
1,2,2,13,22,39,43
1,2,2,3,6,7,8
1,1,1,2,41,75,81
1,2,7,8,13,18,20
1,2,2,3,6,7,8
1,2,2,13,22,39,43
1,1,1,2,2,12,14
1,2,6,7,10,55,60
1,1,1,2,2,12,14
1,2,2,3,3,68,74
1,2,7,8,13,18,20
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,5,6,42,76,82
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,1,10,12,17,26,29
1,2,3,4,4,35,39
1,2,2,3,23,41,45
1,2,3,4,4,40,83
1,2,2,3,6,7,8
1,2,2,13,43,77,84
1,2,3,4,4,78,85
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,1,4,5,5,6,7
1,1,1,2,2,2,2
1,2,2,3,3,21,23
1,2,7,8,13,18,20
1,2,2,3,3,68,74
1,2,5,6,20,56,61
1,1,1,2,2,2,2
1,2,3,4,4,79,86
1,2,2,3,6,7,8
1,2,2,3,3,22,25
1,2,7,8,13,18,20
1,2,2,3,3,68,74
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,2,2,13,43,77,84
1,1,13,18,29,52,57
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,2,13,18,27,32
1,2,7,8,13,18,20
1,2,2,3,3,68,74
1,2,5,6,20,56,61
1,1,1,2,2,2,2
1,2,7,8,13,18,20
1,2,3,4,4,40,83
1,2,5,6,20,45,50
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,2,2,3,3,68,74
1,2,2,3,8,10,12
1,1,1,2,2,12,14
1,2,3,4,4,46,51
1,2,7,8,13,18,20
1,1,13,18,29,52,57
1,2,7,8,13,18,20
1,2,2,3,6,7,8
1,2,5,6,42,76,82
1,2,7,8,13,18,20
1,1,1,2,2,12,14
1,1,13,20,31,57,62
1,2,7,8,13,18,20
1,1,1,2,2,2,2
1,2,2,3,3,43,48
1,1,10,12,17,26,29
1,2,7,8,13,18,20
1,2,3,4,4,11,13
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,2,3,4,4,11,13
1,2,3,4,4,28,31
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,1,1,2,2,12,14
1,1,1,2,2,12,14
1,2,2,3,3,68,74
1,2,2,3,15,23,26
1,2,3,4,4,28,31
1,2,7,8,13,18,20
1,1,1,2,2,2,2
1,2,2,13,22,39,43
1,1,1,1,1,1,9
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,2,13,18,27,32
1,2,3,4,4,11,13
1,2,7,8,21,80,87
1,2,2,3,6,7,8
1,1,13,20,31,57,62
1,2,7,8,21,80,87
1,1,1,2,2,2,2
1,1,16,26,44,81,88
1,2,7,8,13,18,20
1,2,7,8,13,18,20
1,2,2,3,6,7,8
1,2,3,4,4,28,31
1,1,10,16,27,82,89
1,1,1,1,1,1,72
1,2,7,8,13,18,20
1,2,2,13,22,39,43
1,2,2,3,6,7,8
1,2,5,6,20,56,61
1,2,3,4,4,5,6
1,2,2,3,6,7,8
1,2,3,4,4,19,21
1,2,8,9,12,17,19
1,1,1,2,2,12,14
1,2,7,8,13,18,20
1,1,1,2,2,12,14
1,2,3,4,4,69,75
1,2,2,3,6,7,8
1,1,1,2,2,12,14
1,2,3,4,4,30,34
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,1,1,2,41,75,81
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,2,13,22,39,43
1,2,3,4,4,25,28
1,1,10,12,17,26,29
1,1,1,2,2,12,14
1,2,2,3,6,7,8
1,2,2,3,6,7,8
1,2,2,3,3,22,25
1,2,7,8,13,18,20
1,2,7,8,13,18,20
1,2,2,3,6,7,8
1,1,1,2,2,2,2
1,1,13,27,45,83,90
1,2,5,6,42,76,82
1,2,2,3,6,7,8
1,2,8,9,12,17,19
1,2,2,3,6,7,8
1,2,2,13,22,39,43
1,2,7,8,46,84,91
1,2,2,13,22,39,43
1,2,5,6,42,76,82
1,2,3,4,4,69,75
1,2,2,3,6,7,8
1,2,7,8,13,18,20
1,2,3,4,4,11,13
1,1,1,2,2,12,14
1,2,3,4,4,28,31
1,1,1,2,2,2,2
1,2,7,8,21,85,92
1,1,13,18,29,52,57
1,2,2,3,6,7,8
1,1,10,22,36,63,68
1,1,16,26,44,81,88
1,2,2,3,3,68,74
1,1,13,18,29,52,57
1,1,1,2,2,12,14
1,2,2,3,6,7,8
1,1,1,2,2,12,14
1,2,15,25,40,86,93
1,2,8,9,12,17,19
1,2,2,3,6,7,8
1,2,2,3,3,68,74
1,1,13,20,31,57,62
